id_message,message,posted_on,id_disc,id_user
13,"Bonjour,

Tout d'abord, merci pour ces données.

Je travaille sur les données d'octobre 2022. Dans la documentation, il est indiqué: ""Il existe également l'identifiant fiscal du local idloc, invariant dans le temps et indépendant de la mutation, qui correspond aussi à l'identifiant des Fichiers fonciers (idlocal)."" (page: Dénombrer les mutations, les locaux et les parcelles)

Ainsi que: ""Un même local qui mute plusieurs fois aura toujours le même identifiant idloc mais des iddispoloc différents pour chacune des mutations."" (page: http://doc-datafoncier.cerema.fr/dv3f/doc/variable/local/iddispoloc)

Or, je ne trouve aucun locaux (idloc) avec plusieurs mutations sur l'ensemble des données. L'idloc est-il bien associé de façon unique à un local ?

Merci d'avance de votre aide,
Camille",2023-03-16 16:28:13,7,7
14,"Bonjour, je vous contacte urgement pour vous signaler un trou dans les données publiées.
En effet sur le dernier extrait DVF mis à disposition, il n'y a aucune transactions sur les 6 premiers mois de 2017 et cela n'est pas possible

Merci de corriger le problème,",2023-01-11 10:56:48,8,8
15,"Bonjour Oreste,

Je me demande si cela n'est pas lié au fait qu'il y a 5 ans d'ancienneté maximum sur les données présentes... (Aucune idée de la raison).

Bien à vous,
Bénédicte",2023-01-13 10:59:13,8,8
16,"Bonjour,

Malheureusement la loi n'impose que 5 ans de conservation des données (cf. https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000037884472 ).
Je conserve les données de mon côté également, mais je n'ai malheureusement commencé à les collecter qu'à partir de 2021. Je ne dispose donc des données que depuis 2016. Je les mets à disposition sur mon git https://github.com/NyxAether/DVF

Si quelqu'un dispose de données plus anciennes, je suis intéressé.

Bien cordialement,
Romain",2023-02-09 16:00:52,8,8
17,"Bonjour Romain, 

merci pour ces explications !! Super pour les données. 

Pareillement, je n'ai que depuis 2016 et à Paris seulement... :(
https://github.com/BenedicteColnet/immobilier-paris

Bien cordialement,
Bénédicte",2023-02-09 16:41:11,8,8
18,"Salut.

Avez-vous une liste de site internet pour la recherche d'emplois pour l' immigration en France ?

Plusieurs sites où une personne voulant s'installer en France peux appliquer pour des emplois ou l'employeur fourni le visa, etc. 

Ou même autres dans le domaine ou des employeurs recherché à engager des immigrants. 

Merci",2023-01-09 10:37:53,9,9
19,En espérant une réponse du webmaster.,2023-01-08 19:06:19,10,10
20,"Bonjour il semblerait que sur la commune de Marseille et sur ses arrondissements le nombre de transactions réalisées au premier semestre 2022 soit proche de zéro.
Ces valeurs semblent ne pas être du tout en phase avec la réalité, pourriez vous s'il vous plaît me confirmer qu'il manque de nombreuses transactions sur cette commune et si tel est le cas quand ces données seront elles ajoutées.",2022-12-23 11:08:14,11,11
21,"Bonjour, 

Je travaille sur un project de recherche et voulais savoir si il était possible d'avoir accès aux données foncières de 2013 à 2017? 

Merci d'avance !

Bien à vous, 

Gersende",2022-11-24 17:14:47,12,12
22,"Bonjour Gersende,

Avez vous eu une réponse ? J'ai l'impression qu'il n'y a que 5 ans d'ancienneté maximum sur ces données... 

Je me sers de ces données pour un cours, et donc chaque année je vois que les données anciennes sont supprimées à l'ajout d'un nouveau jeu de données récent.

Si cela peut vous aider, j'ai quelques années plus anciennes pour Paris.

Bien à vous,
Bénédicte",2023-01-13 10:58:13,12,12
23,"Bonjour je vous contacte car depuis le mercredi 16/11/2022 votre site DVF dysfonctionne... J'ai essayé avec plusieurs moteurs de recherche, j'ai accès au site et à la carte mais il est impossible d'afficher les données (valeurs). Merci de préciser si c'est une maintenance du site ou bel et bien un bug (dysfonctionnement) ",2022-11-22 11:19:09,13,13
24,"Bonjour,
Le ficher dvf peut comporter certains doublons. Le problème est que je ne peux pas savoir s'il s'agit d'une ligne en double ou réellement de deux biens ayant la même caracteritique (exemple un immeuble avec plusieurs appartements ayant la meme surface)
J'ai remarqué que dans https://app.dvf.etalab.gouv.fr/  les immeubles (avec bien multiples) avec des lignes en doublon étaient filtrées. 
Exemple Vente du 30/09/2021 au 56 rue du GENERAL LECLERC à Saint Quentin à 300000€. Le fichier source contient deux appartment à 29m² et https://app.dvf.etalab.gouv.fr/  n'en montre qu'un.
Faut il bien filtrer les doublons ? Cela a un impact sur le calcul du prix au mètre carré.

Si oui quel est la clé pour dissocier les vrai biens des doublons.

Merci pour votre aide",2022-10-29 01:44:34,14,14
25,"Bonjour à tous,

Je m'apprête à acheter une maison et j'ai donc tout naturellement consulté les données du cadastre en open data. Un vrai plus pour la transparence du marché immobilier.

J'ai trouvé la dernière mutation concernant la maison que je souhaite acheter. La valeur foncière indiquée en 2020 (440 000€) est très inférieure à ce que me déclare l'agence immobilière qui affirme que ce bien a été vendu en 2020 à environ 550 000 €. Je leur ai signifié les données de DVF et ils me répondent que ces données sont erronées et ne correspondent pas à ce qui a été signé chez le notaire. Problème : je ne pourrai en être sure que lorsque je serai devant le notaire.

Bref, quel crédit accorder à cette variable ""Valeur foncière"" ? quels facteurs d'explication à cet écart ? j'ai bien noté les frais d'agence et les frais de notaire qui sont hors valeur foncière.

Merci",2022-10-03 16:42:43,15,15
26,Les agences immobilières sont notoirement malhonnêtes. Je ferais confiance au prix en DVF.,2023-10-30 14:08:28,15,15
27,"Bonjour, 

J'aimerais savoir si les données DVF seront bientôt disponibles pour les départements 57, 67 et 68, ce qui n'a jamais été le cas jusqu'à présent à cause de la particularité locale du Livre Foncier. Et si oui à quelle date les données seraient accessibles ? ",2022-08-29 17:43:03,16,16
28,"Bonjour,
Dans le cadre d'un projet de recherche, j'aimerais avoir accès aux fichiers valeurs foncières  de 2000 à 2013 s'il vous plait .
Bien cordialement,",2022-06-23 15:27:12,17,17
29,"Bonjour chère communauté et producteurs statistiques,
J'aiemrais savoir quelles sont les limites et précautions d'usage qu'il est nécessaire d'avoir en te^te lorsqu'on utilise la base de données DVF.",2022-05-16 12:35:53,18,18
30,"Bonjour,

Dans le cadre d’une étude sur les données de la DVF mises en ligne le 20 Octobre 2021 nous observons une forte baisse des transactions de plus de 40 % entre l’année 2018 et 2019 pour le département du Finistère (29) avec un maintien de cette baisse en 2020.
Toutes les études du marché de l’immobilier du département du Finistère nous présentent une hausse du nombre de transactions sur ces périodes (étude OREAL source notaires)
Est-ce qu’il y a une spécificité concernant la collecte ou le traitement des données du département du Finistère qui pourrait expliquer cet écart sachant que les chiffres des trois autres départements bretons sont cohérents ?

Merci d’avance pour votre analyse, 

Jérôme
",2022-04-06 11:09:27,19,19
31,"Bonjour,
Lors d'une vente en viager quel montant apparait publiquement sur DVF.
Merci
Cordialement
Florent",2022-01-27 13:25:32,20,20
32,"Bonjour,
Je suis un particulier qui a acheté une maison sur la commune de Saint-Brieuc en décembre 2016.
Après avoir été sollicité contre mon gré par une agence immobilière via internet, j'ai pu constater que celle-ci utilisait les données publiées sur Etalab pour diffuser le prix d'achat de ma maison sur son site et ses sites partenaires.
L'agent immobilier qui la représente m'a expliqué que ces données sont consultables publiquement, et ce, pendant une durée de cinq ans.
Ma question porte sur ce délai puisque je constate que ces données sont encore consultables sur le site du FDV alors que nous sommes à la mi-janvier 2022... Comment se fait-il qu'elles soient encore disponibles ?

Cordialement, 

M. Desmons ",2022-01-16 19:47:12,21,21
33,"Bonjour,
Souhaitant réaliser une étude de marché de l'immobilier, je souhaiterai traiter sous excel les fichiers valeursfoncieres.txt mis à disposition. Cependant, leur poids excèdent la limite d'excel, et empêche l'ouverture complète lors de l'importation du fichier txt sous excel. 
Pourriez-vous m'indiquer comment procéder afin de conserver l'entièreté des données ? Merci d'avance.",2022-01-07 13:57:59,22,22
34,"Bonjour,

J'ai remarqué que le nombre de biens dans la DVF baissait significativement dans certaines zones, dont Montpellier et Lyon (3e, 6e, 7e et 8e arrondissements) à partir de janvier 2020. 
D'autres zones voient leur nombre de biens baisser à partir d'août/octobre 2020 (peut-être simplement dû au 2ème confinement), dont Marseille et les Alpes-Maritime (hors Nice).

Pour les premières zones, j'ai d'abord pensé à l'effet global du COVID et des confinements, mais 2 points me paraissent étranges :
    - La baisse commence en janvier 2020, date à laquelle personne ne se souciait encore du COVID
    - Sur d'autres zones telles que Paris ou Lille, aucune telle baisse n'est visible

Auriez-vous une explication sur les raisons de cette baisse du nombre de biens ?",2021-09-13 16:11:30,23,23
35,"Bonjour,
Savez-vous lorsque ce fichier sera mis à jour ?
Merci !
Stan",2021-09-06 14:59:45,24,24
36,"Bonjour, est-il possible de télécharger les fichiers en CSV ou EXCEL ? 
Merci",2021-08-04 11:48:46,25,25
37,DELETED,2021-07-17 19:13:42,26,26
38,"Bonjour,

Je travaille dans l'agence de notation financière Scope ratings gmbh à Paris, cadre dans lequel je suis amené à utiliser les fichiers DVF que vous fournissez. Je souhaiterais savoir s'il est possible d'avoir accès à ces fichiers pour des dates antérieures à l'année 2016 ?

En vous remerciant par avance pour votre réponse,
Bien cordialement.

Benoît GINIES",2021-07-16 15:26:21,27,27
39,"Bonjour,
Pour quelle raison ""légale"" les données du livre foncier des 3 départements du bas Rhin, du haut Rhin et de la Moselle ne sont pas disponibles en open data et intégrées dans les DVF ? 
La situation semble relever de Clochemerle avec une inégalité d'accès des citoyens à l'information. 

Grand Merci pour ces publications DVF et leur maintenance très régulière.",2021-06-23 08:57:51,28,28
40,"Bonjour,

Prévu trimestre 4 en 2022. Selon https://ouverture.data.gouv.fr qui mentionne ""Demande de valeurs foncières (transactions immobilières) pour l'Alsace-Moselle""",2022-02-21 20:21:56,28,28
41,"Bonne nouvelle ! A suivre, Merci",2022-02-21 20:27:44,28,28
42,"Bonjour,
Est-il possible d'avoir la DVF 2018, 2019 et 2020 en format .cvs?
Je suis dans le département 978
Merci 
Pablo Yahuda",2021-06-15 12:17:26,29,29
43,"Bonjour,

Je propose ce nouveau mot-clé : valenciennes hauts nord de France , décé",2021-06-08 17:57:09,30,30
44,"Bonjour, 
Dans un premier temps merci pour le travail que vous avez effectué afin de rassembler l'ensemble des transactions immobilières sur l'année 2019 mais aussi sur l'année 2020. 
Dans le cadre de mes études je dois rédiger un mémoire portant sur l'immobilier. Cependant impossible de trouver sur Internet la market value ( la valeur en euros ) du marché des transactions immobilières. J'avais imaginé pouvoir utiliser le DVF 2019 ainsi que celui de 2020 est sommer l'ensemble des champs compris dans la catégorie prix de vente. Cependant j'ai remarqué qu'il y avait plusieurs opérations qui était enregistré en double dans le DVF. Auriez-vous s'il vous plaît les données me permettant de calculer la taille total du marché des transactions immobilières en 2019 ( autrement dit combien a été changé à travers des acquisitions de biens immobiliers en 2019) et pareil pour 2020. 

Merci d'avance 
N'hésitez pas à me recontacter.",2021-06-01 11:46:15,31,31
45,"Bonjour,
Quand le fichier du 2eme semetre 2020 sera t'il disponible ?
Merci",2021-03-29 20:52:22,32,32
46,"Bonjour,
Avez-vous prévu de publier d'ici la fin de ce mois d'avril les données du second semestre 2020 ?
(Publication fin avril pour les données du S2 de l'année passée, comme annoncé dans la FAQ de l'app Dvf-Etalab).
Je vous remercie par avance pour votre retour.",2021-04-27 01:44:19,32,32
47,"Le jeu de données de 2020 est désormais complet, en une seule partie.
Merci !",2021-05-02 22:00:05,32,32
48,"Bonjour,

Je suis surpris, car sauf erreur de ma part, le fichier DVF 2020 ne contient aucune information sur la zone géographique de La Réunion. 

Est-ce que ces données seront prochainement disponibles ?

Merci d'avance.",2021-05-14 14:28:48,32,32
49,"Bonjour
Les données brutes du 2 ème semestre 2020 sont disponibles depuis mars 2021 et pourtant sur https://app.dvf.etalab.gouv.fr/ il est indiqué
Date de la mutation
01/01/2014 - 30/06/2020

Comme si le 2 ème semestre n'était pas disponible. Pourquoi ?",2021-06-01 15:57:16,32,32
50,"Cela a peut être été mis à jour car je viens de voir à l'instant qu'il est indiqué ""01/01/2016 - 31/12/2021"" pour la date de mutation.",2021-06-02 20:04:26,32,32
51,"Effectivement c'est à jour maintenant.
Peut-être grâce à mon message",2021-06-03 12:49:16,32,32
52,"Bonjour,
Serait-il possible de récupérer un lien de téléchargement des valeurs foncières 2012, 2013, 2014, 2015 (premier semestre).
Je vous remercie d'avance pour votre aide.
Cordialement",2021-03-16 21:18:59,33,33
53,"Christophe Guyon
Le Sorineau
85220 Commequiers
cguyonsc@gmail.com

Bonjour
Pouvez-vous me communiquer par retour de mail l’évolution en % et prix du m2 de terrain à bâtir sur la commune de Saint Jean de Monts, quartier d’Orouet ceci depuis 2018.
Bien à vous

Christophe Guyon
",2021-03-16 18:31:43,34,34
54,"Bonjour,

Les prix affichés sur Marseille (2ème arrondissement par exemple) sont nettement inférieurs aux prix des annonces. Je ne comprends pas vraiment. Je veux bien croire qu'à Marseille, certaines transactions se font de manière un peu illégale (dessous de table ou autre) mais de là à quasiment ne trouver aucune vente au prix du marché, c'est très étrange. 

Avez-vous une idée ?

Merci",2021-03-07 23:39:58,35,35
55,"C'est partout pareil, pas seulement à Marseille, les prix des annonces sont toujours très surévalués par rapport aux prix réels signés chez le notaire.
Le prix des annonces intègrent la commission de l'agence, environ 5%, et la valeur des meubles s'il y en a, contrairement à DVF
",2021-06-03 13:01:18,35,35
56,Il ne s'agit pas d'une différence de 5% mais bien souvent d'au moins 30%... Je ne vois que les dessous de table ou les donations pour expliquer ce phénomène.,2021-06-04 01:56:18,35,35
57,"C'est à cause de la spéculation et du fait que les m2 déclarés par les notaires sont totalement incorrects presque tout le temps (puisqu'il n'y a pas de loi qui dit que le m2 doit être correct, les notaires disent que le m2 est 1/3 ou 1/4 du m2 réel). m2, ce qui gonfle faussement les prix moyens au m2). Explication ici : https://www.iconicriviera.com/fr/guide-d'achat-immobilier-villa-france/
",2023-10-30 14:12:37,35,35
58,"De plus, un commentaire précédent est incorrect. DVF inclut en effet les taxes et commissions d'agence dans les prix affichés.",2023-10-30 14:13:45,35,35
59,"Non, les prix affichés par DVF sont des prix ""net vendeur"", ils ne comprennent pas la commission de l'agence ni les frais de notaire ni la valeur des meubles.",2023-10-31 11:41:01,35,35
60,"Bonjour, 

Je souhaitais une précision par rapport à l'utilisation de ces données. Il est indiqué que ""l’utilisation de ces fichiers ne doit pas permettre la ré-identification des personnes concernées, de manière indirecte"". A l'inverse, un commerce disposant d'une base client avec identité et adresse de ces derniers (ils sont donc déjà identifiés) a-t-il le droit de raccrocher à sa base de données des variables issues des bases dvf en faisant le lien par l'adresse ? (avec, certes, toutes les imprécisions que cela comporterait, notamment en cas de plusieurs habitations à la même adresse) 

En vous remerciant par avance pour votre aide,

Bien cordialement",2021-02-19 16:24:42,36,36
61,"Bonjour,

Je voudrais savoir en quelle géographie sont données les codes communes dans les différents datasets. 

Merci d'avance",2021-01-04 17:29:46,37,37
62,"Bonjour,

J’aurais besoin de vos lumières sur la compréhension de certaines colonnes :

Voici un exemple extrait du fichier de 2020

Date               Type local	           Adresse	                               commune    lot1  carrez    lot2    carrez 	    bati   piece
02/01/2020   Appartement   183 RUE MARC ANTOINE MENARD LUNEL	   3	   28,29	   6		             81	 3
02/01/2020   Appartement   183 RUE MARC ANTOINE MENARD LUNEL	   1	   16,79	   5	     36,94       18	 1

Comment interpréter ces 2 lignes ? Quelle est la surface du bien ? 
En effet, sur la 1er ligne la surface du bâti est de 81 m² mais en loi carrez le 1er lot est à 28.29 m² puis sur la 2ième ligne le bâti est de 18 m² avec 16.79 m² et 36,94 m²  (=53.73>>18) mais une unique pièce principale…Je suis perdu

Par ailleurs, certaines lignes n'ont que la surface carrez du 1er lot de renseignées et d'autres n'ont que la surface réelle bâti,
quelle est la bonne compréhension ?

Comment lire les colonnes ""1er lot"" , ""surface carrez du 1er lot"", ""2eme lot"", ""surface carrez du 2eme lot"" et ""surface réelle bâti""


Merci d’avance
",2020-12-22 22:37:50,38,38
63,"Le m2 n'est pas correct en DVF. Aucune loi n’exige que cela soit correct, c’est pourquoi les notaires le sous-estiment chroniquement pour augmenter le prix moyen au m2.",2023-10-30 14:15:27,38,38
64,"Bonjour,

En cherchant l'historique des ventes au sein d'une co-propriété à Toulouse, je me suis aperçue qu'aucune transaction n'était renseignée depuis 2015. Pourtant il y a bien eu, au minimum, 1 vente par an dans cette résidence. Savez-vous d'où peut venir le problème et où trouver l'information?

Merci d'avance pour vos retours.
Cordialement.",2020-11-30 09:54:43,39,39
65,"@Laure Roupioz.
Pareil chez moi, une copro avec 70 logements et des ventes chaque année et bien aucune donnée n'est disponible avec DVF, y compris en regardant dans le fichier csv. Moi aussi j'aimerais comprendre pourquoi. ",2021-06-01 15:59:29,39,39
66,"Bonjour,
Nous aurions souhaité intégrer dans notre SIG les données DVF antérieures à celles publiées sur votre site. 
Serait-il possible STP que vous nous envoyé les fichiers 2010 à 2015, ou même ceux d'avant si possible ?
Merci par avance
Cdt,
M.Ensch",2020-11-18 10:11:02,40,40
67,"Bonjour, 
Pouvez vous svp me dire à quelle date sera disponible la prochaine actualisation prévue en octobre ?
Merci",2020-10-12 11:32:20,41,41
68,"Bonjour,
Les données de 2020 manquent toujours , ça sera pour quand s'il vous plait?
Merci par avance",2020-10-15 14:54:08,41,41
69,Même question pour moi svp.,2020-10-15 15:11:49,41,41
70,"Bon ben devant l’absence de réponse, il faudra attendre fin de mois, je crois bien...",2020-10-20 18:06:46,41,41
71,"Bonjour,
Nous n'avons pas encore de visibilité mais ce sera en effet probablement à la fin du mois.",2020-10-22 15:49:01,41,41
72,C'est appréciable à vous d'avoir répondu. Nous attendrons jusqu'au dernier jour du mois donc. Merci,2020-10-22 16:39:06,41,41
73,Les données ont été publiées.,2020-10-29 11:56:04,41,41
74,Merci beaucoup Jérôme ,2020-10-29 11:57:28,41,41
75,"Il manque les coordonnées géographiques et la structure du fichier est différente des autres . Est ce que c'est normal svp?
Merci",2020-10-29 12:01:37,41,41
76,"Bonjour,
Avez-vous une date de la publication du fichier contenant les coordonnées géographiques et qui a la même structure des autres fichiers s'il vous plait?
Cordialement ",2020-11-03 15:41:31,41,41
77,"Bonjour,
J'ai téléchargé les valeurs foncières 2019, normalement elles devraient contenir les valeurs foncières de Tahiti qui est en Polynésie française étant donné qu'elle ne fait partie ni de l’Alsace-Moselle, ni de Mayotte.
Cependant, sauf erreur de ma part, je ne trouve aucune données dans le fichier 2019. 
Si les valeurs foncières y sont, pouvez-vous m'indiquer les numéros de lignes SVP. Sinon, pouvez-vous me dire où je peux obtenir ces données SVP ?
Merci d'avance pour votre retour.
Bonne journée.",2020-09-01 19:51:16,42,42
78,"Bonjour,
Est-ce possible de télécharger ces données sur excel ??",2020-08-20 11:19:07,43,43
79,Bonjour. Je souhaite savoir si il y a un moyen de séparer les logement ancien et neuf. ,2020-07-29 02:36:23,44,44
80,"Bonjour, quand est ce que le fichier semestriel d'Avril 2020 sera disponible?
Merci",2020-07-23 11:55:12,45,45
81,"Bonjour,
Il manque les données de 2020. Pourriez-vous les partager s’il vous plait?
Cordialement",2020-10-01 12:06:46,45,45
82,"Bonjour,
Afin de nous organiser au mieux, je me permets de vous contacter pour savoir s'il y aurait un risque que ces données deviennent à moyen terme à nouveau confidentielles?
Merci d'avance",2020-07-10 17:37:22,46,46
83,"Le 28/06/2020:
Bonjour, je rencontre des difficultés, pour transposer les fichiers DVF, au format excel, du fait certainement de la taille du fichier, et que moi même je ne suis pas opérationnel pour effectuer une telle manipulation. Pourriez-vous me / nous fournir à tous ceux-ci au format Excel ? d'avance merci. T. Lemoine ",2020-06-28 15:24:30,47,47
84,"Bonjour, 
Avez-vous eu réponse ? Avez-vous reçu un fichier excel ? 
En vous remerciant par avance, 
MG",2020-12-09 14:42:59,47,47
85,"Bonjour Madame Manon Graveline,
Tout d’abord merci de vous inquiéter de mon cas, via courriel.
Je n’ai toujours pas obtenu de réponses de vos services !!!!!!!!
Pourriez-vous me contacter pour me donner de plus amples informations sur la DVF ? D’avance merci.
Cordialement M. Thierry Lemoine (communiquez moi une adresse courriel valide, car j'ai exploité celle de votre demande d'hier le 09/12/2020, et celle-ci ne passe pas!!!!! ). ",2020-12-10 15:54:19,47,47
86,"Bonjour Monsieur LEMOINE, je ne travaille pour l'administration, je suis simplement dans la même situation que vous ! 
Bien cordialement, 
Manon ",2020-12-10 15:57:08,47,47
87,"Ok alors,
Re bonjour,
Vous savez peut-être: Il est proposé d'utiliser comme séparateur, pour lire un fichier ""txt"" en excel, en appliquant "" | (CTRL 6)"", mais ceci ne fonctionne pas ! ! ! Comment mettre réellement cela en oeuvre. D'avance merci. Cdlt M. T. Lemoine",2020-12-10 16:03:14,47,47
88,"Bonjour,
Il n'y a pas de données pour Goxwiller 67210, année 2019.

Ou puis-je les trouver

Je vous remercie

Michel Dumani",2020-06-20 08:56:34,48,48
89,"Bonjour,


est-il possible d'accéder à des données antérieures au 1er janvier 2015?
Merci",2020-05-26 13:43:05,49,49
90,"Bonjour
Je fais de la publicité pour que les collectivités aillent sur le Site pour récupérer les données du Fichier DVF.
Même si vous signalez que le fichier est volumineux, je pense qu'il serait plus judicieux de ""couper le fichier"" (sauf si vous avez une autre solution pour l'ouvrir) soit 1 fichier par Département soit 20 départements par 20....bref quelque chose d’accessible.
Après avoir téléchargé le fichier pour l'ouvrir (en ODS) la réponse est ""impossible de télécharger la totalité des données: dépassement du nombre maximal de lignes par feuille""
Plutôt que de devoir répondre aux collectivités que je ne suis pas responsable de ce dysfonctionnement je pense qu'il est préférable sans évolution de votre côté que je continue d'habiliter les collectivités à DVF.
Cordialement",2020-05-19 10:40:23,50,50
91,"Bonjour, la version ""dvf etalab"" correspond à ce que vous souhaitez https://www.data.gouv.fr/fr/datasets/r/d4e727f0-dff7-4f97-b6f5-d56c0296f453
Cordialement",2020-05-19 10:46:49,50,50
92,"Bonjour
Oui, mais pourquoi cette version n'est pas disponible pour les collectivités ?
Normalement un des avantages de cet accès en direct au fichier et d'éviter que les collectivités n'aient besoin de la DGFiP, comptables et/ou SFDL (service de la Fiscalité Directe Locale)
Cordialement. ",2020-05-19 11:02:19,50,50
93,"Cette version est disponible pour tout le monde puisqu'accessible à partir de data.gouv.fr sans identifiant. Il s'agit des fichiers de la dgfip, séparés par année et par département ou commune (code commune). Ils s'appellent ""géolocalisés"" car des colonnes de géolocalisation ont été ajoutées, et les identifiants de parcelles cadastrales ""mis à jour"". C'est la version qui est utilisée pour l'application app.dvf.",2020-05-19 11:16:35,50,50
94,"Bonjour
Merci beaucoup votre réponse est ....quasi parfaite il fallait juste rajouter le lien
https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/
Un petit détail je ne sais pas si cela est expliqué dans la doc mais pour l'ouverture du fichier les accents (des noms de communes) sont lisibles qu'avec unicode utf-8.
Je vous remercie pour vos réponses
Cordialement
",2020-05-19 11:36:06,50,50
95,"Le lien que je vous ai copié plus haut est un lien permanent, indépendant du nommage de la page. Concernant l'encodage, il s'agit d'utf-8, avec un séparateur virgule. Nous avons conservé le format initial. Pour changer cela, il faut ouvrir le fichier dans un éditeur, par exemple notepad++, convertir en latin 1, sauver.",2020-05-19 12:45:22,50,50
